file,"hgnc hits","on wp_all","on wp_hs","new wp_hs only","new wp_all","new hits only to wp_hs","new hits to wp_all"
PMC133668__mb0720973009.jpg.txt,7,2,0,2,5,NU|PKG,NE|R|U|MX|E
PMC133918__mb1321825003.jpg.txt,5,3,0,3,2,S|NU|MU,MA|U
PMC1345641__zmk0010674710011.jpg.txt,0,0,0,0,0,,
PMC1347046__zmb0030656850009.jpg.txt,0,0,0,0,0,,
PMC1347434__gkj071f2.jpg.txt,1,0,0,0,1,,LMO
PMC1350949__nihms5852f7.jpg.txt,5,2,1,1,3,P53,J|SUN|MA
PMC1351030__nihms2404f8.jpg.txt,5,4,4,0,1,,D1
PMC135552__00-0458f9.jpg.txt,6,5,0,5,1,AA|S|MAM|AN|GA,MY
PMC1356091__pcbi.0020003.g003.jpg.txt,4,2,0,2,2,X|L,E|R
PMC1356334__7600893f7.jpg.txt,1,0,0,0,1,,E
PMC1356384__19FF8.jpg.txt,2,1,0,1,1,H,ALF
PMC135641__mb1820558010.jpg.txt,7,4,1,3,3,IN|ON|L,U|EMU|JNK
PMC135652__mb2120116008.jpg.txt,1,0,0,0,1,,CELL
PMC1356553__tpc1800477f10.jpg.txt,1,1,0,1,0,L,
PMC1356578__zmk0020674940010.jpg.txt,5,2,1,1,3,PKR1,CAC1|ACA1|J
PMC1360222__nihms7040f9.jpg.txt,3,3,1,2,0,P38|OF,
PMC136456__jv1820687007.jpg.txt,1,1,0,1,0,COLL,
PMC1367180__zmb0040657430002.jpg.txt,5,2,0,2,3,MAM|AM,JNK|MA|MX
PMC137067__1475-4924-1-7-1.jpg.txt,0,0,0,0,0,,
PMC137069__1475-4924-1-9-1.jpg.txt,7,5,2,3,2,NU|GAS1|FU,E|II
PMC1375233__nek010f5.jpg.txt,0,0,0,0,0,,
PMC137942__bcr543-1.jpg.txt,3,3,1,2,0,L|H,
PMC1383554__7600973f10.jpg.txt,5,3,0,3,2,VEGF|VEGFR|L,CELL|TUBE
PMC1386115__JCI0627883.f3.jpg.txt,11,5,2,3,6,ND|RN|MEN,U|J|NOD27|RX|R|MA
PMC1386711__1471-2105-7-41-4.jpg.txt,6,4,0,4,2,NU|ON|E1|AN,MX|U
PMC139432__bcr42-1.jpg.txt,0,0,0,0,0,,
PMC139542__01-0008f10.jpg.txt,3,2,0,2,1,OF|FR,U
PMC139760__99-0353f8.jpg.txt,4,1,0,1,3,NPH1,LIGHT|J|NPH3
PMC140053__cdg009f9.jpg.txt,3,2,0,2,1,IKKB|IKK,NF-KB
PMC1405901__zek0020626100006.jpg.txt,3,1,0,1,2,AF,R|ST
PMC1409799__1471-2105-7-55-4.jpg.txt,0,0,0,0,0,,
PMC1409881__15FF1.jpg.txt,1,1,0,1,0,MAM,
PMC1413561__1471-2105-7-99-3.jpg.txt,0,0,0,0,0,,
PMC1413672__zpq0050610600006.jpg.txt,1,0,0,0,1,,CELL
PMC1413813__zpq0060611520008.jpg.txt,1,1,0,1,0,IMP,
PMC1415320__zmk0040676050006.jpg.txt,2,1,0,1,1,ERK,E
PMC1415321__zmk0040675900012.jpg.txt,4,2,1,1,2,GAP,TTG|NG
PMC1420312__1471-2407-6-54-5.jpg.txt,0,0,0,0,0,,
PMC1431720__gb-2006-7-2-r11-7.jpg.txt,0,0,0,0,0,,
PMC1431720__gb-2006-7-2-r11-8.jpg.txt,6,2,1,1,4,SMN,NF-KB|PAF|JNK|MS
PMC1435660__69f3c.jpg.txt,2,1,0,1,1,ALK1,CELL
PMC1435660__73f5c.jpg.txt,5,4,0,4,1,IN|HHT|ON|PM,E
PMC1435660__75f8c.jpg.txt,7,5,2,3,2,IN|ALK-5|OF,E|TUBE
PMC1440308__1742-4682-3-13-4.jpg.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-5.jpg.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-6.jpg.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-7.jpg.txt,0,0,0,0,0,,
PMC1449610__8695f7.jpg.txt,7,5,0,5,2,ADA3|GCN5|SWI5|ALT1|VPS24,ADA2|KCS1
PMC1449898__pgen.0020057.g005.jpg.txt,12,8,3,5,4,CAB|MINT|PKC|S|CB2,E|16|CAL|CA2
PMC1451179__6772f6.jpg.txt,6,4,0,4,2,IN|B|L|MR,MAFK|MA
PMC1456092__GEN17141643f6.jpg.txt,2,1,0,1,1,ARM,PCP
PMC1456095__GEN17141683f6.jpg.txt,0,0,0,0,0,,
PMC1456930__7601062f5.jpg.txt,9,6,0,6,3,MN|X|MEK|PM|P|MU,GM|MA|AU
PMC1461420__GEN1731177f4.jpg.txt,2,0,0,0,2,,EGI|II
PMC1462967__7601115f7.jpg.txt,8,5,0,5,3,H|IN|S|SC|OF,CHL|NL|U
PMC1469776__JCI0624652.f1.jpg.txt,15,7,0,7,8,AN|RN|AS|S|IN|AM|CEH,NM|GAMMA|MS|E|HY|MA|L1|HAS
PMC1472009__zjv0090676890006.jpg.txt,4,3,1,2,1,RN|ON,MPG
PMC1479092__nihms-10426-0011.jpg.txt,8,6,0,6,2,TRX|ASK|L|ROS|IN|ASK1,SAPK|J
PMC1479345__1476-511X-5-10-3.jpg.txt,9,5,1,4,4,CO|FU|ON|L,CRYAA|MAPM|GM|CF
PMC1479345__1476-511X-5-10-4.jpg.txt,10,8,5,3,2,FU|CO|HGL,SUN|HOXA13
PMC1479345__1476-511X-5-10-5.jpg.txt,7,6,2,4,1,GA|CO|FU|TUBA1,CMM
PMC1479345__1476-511X-5-10-6.jpg.txt,8,6,2,4,2,FU|CO|AM|S,FGFR3P|FOXA3
PMC1479345__1476-511X-5-10-7.jpg.txt,10,6,2,4,4,CO|P0|DCAF|FU,BOP1|E|TCEA2|NFI
PMC1481596__1748-7188-1-7-4.jpg.txt,0,0,0,0,0,,
PMC1482501__zpq0200621890001.jpg.txt,3,1,0,1,2,RECA,J|DAMAGE
PMC1482501__zpq0200621890004.jpg.txt,7,6,1,5,1,L|P|H|MU|KL,E
PMC1482580__zpq0240625140004.jpg.txt,6,5,2,3,1,P55|L|AM,EDARADD
PMC149052__00-0018f10.jpg.txt,2,2,0,2,0,S|AM,
PMC149053__00-0019f7.jpg.txt,3,3,0,3,0,B|A3A|OF,
PMC149075__00-0173f9.jpg.txt,4,1,1,0,3,,HR|PR1|CELL
PMC149122__00-0152f7.jpg.txt,1,1,0,1,0,PA,
PMC14940__mk0801266010.jpg.txt,2,2,0,2,0,AM|CALL,
PMC1501083__nihms10559f5.jpg.txt,1,1,1,0,0,,
PMC1502028__neo0710_0921_fig004.jpg.txt,6,5,3,2,1,RHEB1|4E-BP1,E
PMC1502453__zpq0250625570005.jpg.txt,1,0,0,0,1,,U
PMC1502564__zpq0250625810003.jpg.txt,6,5,2,3,1,L|H|HRS,GM
PMC1503662__neo0406_0486_fig007.jpg.txt,10,9,2,7,1,CD95|APO-1|MI|FLICE|MACH|CPP32|YAMA,J
PMC150771__003376f8.jpg.txt,4,4,1,3,0,H|X|L,
PMC150971__JCI0215644.f1.jpg.txt,0,0,0,0,0,,
PMC151022__JCI0215970.f1.jpg.txt,0,0,0,0,0,,
PMC151067__cdg131f6.jpg.txt,2,2,1,1,0,CTR,
PMC151252__00-1768f3.jpg.txt,6,3,0,3,3,L|SA|AM,OR|SS|J
PMC151254__00-0596f1.jpg.txt,12,7,0,7,5,ON|AM|ROS|SON|HL|P|IN,U|NL|MS|R|MA
PMC151254__00-0596f6.jpg.txt,11,6,1,5,5,H|L|P|MU|ND1,II|U|MT|MR1|BOS1
PMC151255__01-0455f5.jpg.txt,5,2,0,2,3,SWAP|L,RH|GM|MY
PMC151358__pq0438011005.jpg.txt,7,6,3,3,1,BAK|SMAC|AIF,BIM
PMC151536__mb0230960007.jpg.txt,4,3,1,2,1,AN|X,QM
PMC151704__mb0531267009.jpg.txt,3,2,1,1,1,TOR,U
PMC151875__JCI0317745.f1.jpg.txt,2,1,0,1,1,S,DC
PMC151924__JCI0316491.f7.jpg.txt,6,3,0,3,3,SA|H|L,SACS|MS|AG
PMC1522081__1933fig7.jpg.txt,3,1,0,1,2,L,EL|U
PMC152615__jb0831245007.jpg.txt,1,1,1,0,0,,
PMC1531665__neo0605_0603_fig004.jpg.txt,6,6,2,4,0,L|AM|ED1|CAN,
PMC1531692__neo0403_0191_fig001.jpg.txt,2,1,0,1,1,PH,FA
PMC153558__pq0931010001.jpg.txt,3,3,1,2,0,BMPR-II|P,
PMC153558__pq0931010003.jpg.txt,10,7,3,4,3,BMPR-II|SMAD1|MAM|BMP2B,ALL|MALL|J
PMC153719__010413f9.jpg.txt,2,2,0,2,0,B|IN,
PMC154144__bcr566-2.jpg.txt,0,0,0,0,0,,
PMC155330__44493-2f7_L1TT.jpg.txt,16,11,4,7,5,H|MEKK|ASK|NIX|HEP|MKK4|MKK7,LZK|TAK|TPL-2|MX|CELL
PMC1553448__1471-2164-7-92-7.jpg.txt,4,3,1,2,1,IN|LU,E
PMC155783__ii0631887007.jpg.txt,8,5,0,5,3,MEKK|X|AM|BCL-XL|L,FOR|E|MLK
PMC1567929__zpq0310630370007.jpg.txt,0,0,0,0,0,,
PMC1570443__7601317f10.jpg.txt,6,4,0,4,2,TYPE|OF|MAR|HO,VGLUT|NG
PMC1574111__140-0705522f3.jpg.txt,0,0,0,0,0,,
PMC1578677__2539fig7.jpg.txt,1,1,0,1,0,L,
PMC1592599__MI2006-12682.001.jpg.txt,7,6,4,2,1,L|TRAP,II
PMC1592845__zmb0170661960008.jpg.txt,0,0,0,0,0,,
PMC1592896__zmb0190662410007.jpg.txt,4,3,0,3,1,L|X|Y,JNK
PMC1594900__zii0100661800003.jpg.txt,0,0,0,0,0,,
PMC1599906__zpq0360634000003.jpg.txt,0,0,0,0,0,,
PMC1599931__zpq0340632620001.jpg.txt,3,1,0,1,2,MNK1,R|U
PMC1601945__neo0808_0689_fig001.jpg.txt,4,3,2,1,1,OF,RNF11
PMC1601946__neo0808_0677_fig001.jpg.txt,1,1,0,1,0,AN,
PMC1603434__zjh0070565490006.jpg.txt,7,6,4,2,1,L|TS,J1
PMC1603783__zjh0110566490005.jpg.txt,1,0,0,0,1,,D1
PMC1609106__1471-213X-6-45-8.jpg.txt,0,0,0,0,0,,
PMC1609183__1471-2407-6-236-7.jpg.txt,7,3,0,3,4,RVR|Y|HMR,NA|CH|R|U
PMC1618798__nihms-12625-0002.jpg.txt,3,2,0,2,1,AN|IN,APO
PMC1618798__nihms-12625-0003.jpg.txt,7,2,0,2,5,MAM|Y,J|R|RG|II|E
PMC1636849__zmb0200662740008.jpg.txt,0,0,0,0,0,,
PMC1636853__zmb0200662920010.jpg.txt,1,0,0,0,1,,J
PMC16561__pq1201750006.jpg.txt,0,0,0,0,0,,
PMC166246__pq1332636005.jpg.txt,0,0,0,0,0,,
PMC167103__pp0737980004.jpg.txt,3,1,0,1,2,P,U|AU
PMC1679705__JCI0627702.f9.jpg.txt,1,1,0,1,0,S,
PMC1681468__msb4100014-f2.jpg.txt,6,3,0,3,3,GR|IF|H,L1|R|HI
PMC1681468__msb4100014-f5.jpg.txt,0,0,0,0,0,,
PMC1682017__msb4100094-f4.jpg.txt,0,0,0,0,0,,
PMC1682017__msb4100094-f5.jpg.txt,0,0,0,0,0,,
PMC1693893__gkl834f7.jpg.txt,4,3,0,3,1,L|RAR|Z,CELL
PMC1693942__tpc1803047f05.jpg.txt,1,0,0,0,1,,MA
PMC1698511__zmr0040621400003.jpg.txt,0,0,0,0,0,,
PMC1705971__nihms-14550-0007.jpg.txt,3,2,0,2,1,TOR|L,II
PMC171388__JCI0317788.f7.jpg.txt,3,1,1,0,2,,ACTIVIN|E
PMC1728094__00840.f1.jpg.txt,8,6,1,5,2,S|H|GR|L|BCL-2,IL-6|CELL
PMC1764827__neo0811_0964_fig010.jpg.txt,1,1,0,1,0,VP,
PMC1766317__zpq0440639740005.jpg.txt,10,7,1,6,3,CARMA1|NMA|H|S|EI|B,CARMA3|E|IL-6
PMC1766433__zpq0510645340008.jpg.txt,10,6,1,5,4,GPCR|Y|PKC|IN|L,E|ANA|II|ERK1
PMC1769435__pbio.0050010.g001.jpg.txt,2,1,0,1,1,H,NA
PMC1775040__1471-2202-7-S1-S10-2.jpg.txt,4,3,0,3,1,ON|L|CAM,E
PMC1779520__gb-2006-7-5-r42-3.jpg.txt,5,4,1,3,1,C-MYC|P21|PM,SANS
PMC1781473__ppat.0030003.g003.jpg.txt,5,3,0,3,2,X|MU|MN,MS|E
PMC1783401__zpq0510645370006.jpg.txt,0,0,0,0,0,,
PMC178345__ek0430035005.jpg.txt,1,1,1,0,0,,
PMC1783462__7601504f8.jpg.txt,4,3,0,3,1,CD95|L|NU,U
PMC1783693__RevDiabeticStud-01-165-003.jpg.txt,0,0,0,0,0,,
PMC1803010__ppat.0030021.g003.jpg.txt,5,4,2,2,1,S|X,IER
PMC1804097__nihms14446f7.jpg.txt,1,0,0,0,1,,CELL
PMC1815248__zpq0070752640005.jpg.txt,3,1,1,0,2,,JNK|RECK
PMC1821078__nihms16116f6.jpg.txt,14,9,4,5,5,BETA-CATENIN|TN|S|B|L,R|CA|E|NLN|J
PMC1828067__1476-4598-6-18-7.jpg.txt,2,2,1,1,0,CEH,
PMC1828071__nihms16392f12.jpg.txt,4,3,0,3,1,MEK1|ERK|IN,CELL
PMC1828071__nihms16392f1a.jpg.txt,17,12,6,6,5,L|AMPK|Y|FKHR|BP1|IN,MA|GEN|LI|U|FOR
PMC1828071__nihms16392f2.jpg.txt,16,11,2,9,5,H3|L|FP|PI|P|LKB1|AMPK|S|AN,PDL|PI4|CA|E|FOR
PMC1829256__zpq0100756500001.jpg.txt,1,0,0,0,1,,J
PMC1838573__nihms-12454-0001.jpg.txt,8,4,0,4,4,IL-19|PUMA|ER|NOXA,IER|ILC|SR|CL-2
PMC1838942__JCI0730453.f1.jpg.txt,0,0,0,0,0,,
PMC1838971__zmk0040780130010.jpg.txt,4,4,1,3,0,L|RS|P5,
PMC1839891__1752-0509-1-13-1.jpg.txt,15,8,0,8,7,S|OF|ON|AN|PM|MU|SMA|AM,OR|SUN|HE|SNN|MY|U|MA
PMC1839894__1752-0509-1-4-4.jpg.txt,6,4,2,2,2,L|P,J|GT1
PMC1839983__nihms16683f4.jpg.txt,3,3,0,3,0,ERK|MEK|ET,
PMC1847322__nihms17490f5.jpg.txt,2,1,0,1,1,L,U
PMC1847715__984fig8.jpg.txt,0,0,0,0,0,,
PMC1850774__jh1123398005.jpg.txt,23,21,7,14,2,FY|PKC|X|R1|AS|PKB|PA|FAK|L|IKK|ETK|FKHR|CYC|IN,JNK|E
PMC1851054__zpq0090755020006.jpg.txt,8,7,1,6,1,NU|B|CAN|MAM|X|H,U
PMC1851854__zjh0020771290007.jpg.txt,2,2,0,2,0,RGMC|LPS,
PMC1851929__nihms18962f8.jpg.txt,0,0,0,0,0,,
PMC185249__1465-9921-4-5-3.jpg.txt,1,1,0,1,0,SW,
PMC1853162__biophysj00090084F02_RGB.jpg.txt,6,3,0,3,3,H|X|B,YO|J|VH
PMC1853162__biophysj00090084F03_RGB.jpg.txt,1,1,0,1,0,S,
PMC1853162__biophysj00090084F04_RGB.jpg.txt,0,0,0,0,0,,
PMC1855985__pone.0000426.g001.jpg.txt,1,1,0,1,0,MU,
PMC1857715__ppat.0030060.g008.jpg.txt,8,4,1,3,4,LPS|L|MU,E|ZO|R|IL-6
PMC1862519__nihms18021f1.jpg.txt,0,0,0,0,0,,
PMC186276__46891-2f3_L1TT.jpg.txt,15,10,1,9,5,ON|AS|MU|UP|PM|AM|S|L|IN,HAS|U|R|CELL|FATE
PMC1862818__nihms20335f2.jpg.txt,1,0,0,0,1,,CELL
PMC186427__51627-13f7_C4TT.jpg.txt,3,2,0,2,1,NU|H,NG
PMC1867372__tpc1900805f07.jpg.txt,9,7,1,6,2,P|L|AC3|ACS5|ET|S,SEN|SN
PMC1868540__nihms20764f1.jpg.txt,0,0,0,0,0,,
PMC187495__55671-10f4_L1TT.jpg.txt,1,1,0,1,0,ON,
PMC1876485__pcbi.0030092.g003.jpg.txt,0,0,0,0,0,,
PMC1876599__nrs05004.f3.jpg.txt,0,0,0,0,0,,
PMC1877048__22FF1.jpg.txt,5,4,1,3,1,LPS|MD-2|L,R
PMC1877091__zmk0060780720015.jpg.txt,5,2,1,1,3,SIS,CELL|SRO|R
PMC18851__pq2204103006.jpg.txt,4,3,0,3,1,AM|L|P,CA
PMC1885811__1471-2105-8-168-4.jpg.txt,0,0,0,0,0,,
PMC1892100__1471-2105-8-S3-S3-1.jpg.txt,0,0,0,0,0,,
PMC1895829__zh80130697530005.jpg.txt,3,3,1,2,0,GPCR|L,
PMC1896004__gb-2007-8-4-r59-4.jpg.txt,0,0,0,0,0,,
PMC1913781__pp1440324f07.jpg.txt,4,2,1,1,2,S,NM|E
PMC1914214__nihms22441f7.jpg.txt,1,1,0,1,0,AS,
PMC1924805__zmk0070781270008.jpg.txt,4,4,0,4,0,AM|X|L|ROS,
PMC1934587__JCI0731807.f11.jpg.txt,1,1,0,1,0,P,
PMC1939900__zh80140704970006.jpg.txt,3,2,0,2,1,MU|AN,E
PMC1949361__zmk0080781650007.jpg.txt,1,1,0,1,0,TN,
PMC1950120__nihms26639f7.jpg.txt,6,6,3,3,0,X|L|IN,
PMC1951132__zek0080729420001.jpg.txt,6,4,0,4,2,H|MK|X|Y,U|E
PMC1951760__zmk0090781940008.jpg.txt,0,0,0,0,0,,
PMC195990__59046-10f5_C4TT.jpg.txt,0,0,0,0,0,,
PMC196055__64236-02f7_L1OT.jpg.txt,10,8,0,8,2,AF|P|L|OF|S|SIN|GA|AS,GPN|GM
PMC196255__67858-09f7a_L1TT.jpg.txt,5,4,0,4,1,TR|DP|DAK|P,J
PMC1964795__nihms26012f5.jpg.txt,8,4,0,4,4,AK|Y|ASK|ON,ANT|UL|MA|J
PMC197303__015529f1.jpg.txt,6,5,0,5,1,CAN|NPR1|PR|PSM|B,E
PMC1978528__pone.0000936.g001.jpg.txt,0,0,0,0,0,,
PMC198534__JCI0319974.f1.jpg.txt,0,0,0,0,0,,
PMC1986755__nihms25854f7.jpg.txt,5,4,0,4,1,FOG|RHOGAP|SA|ZIP,DMK
PMC1986796__nihms27267f8.jpg.txt,6,6,2,4,0,H|PKG|ERK|OF,
PMC199181__JCI0111918.f3.jpg.txt,9,7,1,6,2,RN|S|P1|MU|MN|NU,U|E
PMC1994700__pgen.0030154.g003.jpg.txt,0,0,0,0,0,,
PMC1995089__nihms-28375-f0008.jpg.txt,6,4,0,4,2,X|B|AM|P,J|E
PMC1995599__nihms25729f2.jpg.txt,0,0,0,0,0,,
PMC1998874__335_2007_9040_Fig4_HTML.jpg.txt,0,0,0,0,0,,
PMC1998879__335_2007_9034_Fig2_HTML.jpg.txt,0,0,0,0,0,,
PMC2000831__nihms28507f3.jpg.txt,0,0,0,0,0,,
PMC2002608__tpc1902484f12.jpg.txt,4,3,1,2,1,X|Y,SAC
PMC2002614__tpc1902454f09.jpg.txt,3,2,0,2,1,L|A4,KA
PMC20092__pq0673858005.jpg.txt,0,0,0,0,0,,
PMC201163__ac1030622001.jpg.txt,3,2,1,1,1,ON,CELL
PMC2040891__zpq0270768390005.jpg.txt,6,5,3,2,1,RB|DP1,OR
PMC2042176__zpq0410779130004.jpg.txt,8,6,0,6,2,SA|AA|X|B|Y|L,FAST|KA
PMC2043018__pbio.0050248.g004.jpg.txt,11,10,3,7,1,PM|P|AM|H|MN|MU|L,R
PMC2043540__zmk0110782710007.jpg.txt,9,3,1,2,6,CAMKI|ON,U3|J|NA|TAK|U|ECT
PMC2043575__zmk0110782920008.jpg.txt,0,0,0,0,0,,
PMC20445__pq0980676006.jpg.txt,0,0,0,0,0,,
PMC2045624__JCI0733976.f1.jpg.txt,5,2,0,2,3,S|CAR,E|U|R
PMC2048693__tpc1902940f08.jpg.txt,0,0,0,0,0,,
PMC2048736__pp1450450f09.jpg.txt,4,2,0,2,2,P|RS,MS|MA
PMC2063843__jcb1730431f08.jpg.txt,6,3,1,2,3,H|P120,E|CADHERIN|ECM
PMC2064281__jcb1770809f06.jpg.txt,4,2,1,1,2,DAG,PLA2|CA
PMC2064427__jcb1780107f10.jpg.txt,3,1,0,1,2,S,E|U
PMC2064840__jcb1780437f09.jpg.txt,3,2,0,2,1,SMA1|MU,E
PMC2072925__11302_2007_9074_Fig1_HTML.jpg.txt,5,4,0,4,1,MAM|P2|UP|P1,CELL
PMC2075101__nihms-30394-f0001.jpg.txt,3,2,1,1,1,DAG,PIP
PMC207628__mb2130730009.jpg.txt,2,1,0,1,1,E1,MA
PMC2077852__nihms32806f3.jpg.txt,11,8,5,3,3,S|X|MEK,POKEMON|DAMAGE|OR
PMC2080907__jcb1790717f08.jpg.txt,10,3,2,1,7,H,OR|SEA|EMU|MY|CA|U|E
PMC209287__JCI0112853.f1.jpg.txt,9,7,1,6,2,TWIST|SAS|TYPE|S|P|CAN,ZAN|R
PMC2093951__nihms31050f9.jpg.txt,1,1,0,1,0,L,
PMC2096423__JCI0732301.f10.jpg.txt,1,1,0,1,0,LRP4,
PMC2096568__11302_2004_Article_4748_Fig4.jpg.txt,3,1,0,1,2,GAP,ADP|GEF
PMC2097959__nihms33845f2.jpg.txt,14,7,4,3,7,GR|MEK|SEX,MX|RU|GM|SAX|SUN|EZF|J
PMC2099483__1471-2105-8-S7-S15-1.jpg.txt,0,0,0,0,0,,
PMC2099484__1471-2105-8-S7-S16-11.jpg.txt,0,0,0,0,0,,
PMC2099484__1471-2105-8-S7-S16-9.jpg.txt,0,0,0,0,0,,
PMC2100073__1471-2105-8-335-4.jpg.txt,7,3,1,2,4,S|Y,U|R|MY|E
PMC2100073__1471-2105-8-335-5.jpg.txt,4,4,1,3,0,S|ON|P,
PMC2100073__1471-2105-8-335-6.jpg.txt,2,1,0,1,1,ON,MAFK
PMC2118122__jem2032409f01.jpg.txt,3,1,0,1,2,MU,PKH|E
PMC2118421__jem2040093f07.jpg.txt,0,0,0,0,0,,
PMC2128780__nihms33729f9.jpg.txt,3,1,1,0,2,,J|FATE
PMC2133067__JCB9807101.f8.jpg.txt,7,6,1,5,1,FAK|C-SRC|MEK1|MEK|ERK,CELL
PMC2133182__JCB9811074.f10.jpg.txt,7,5,1,4,2,IGF-I|CAN|Y|OF,OR|R
PMC2134904__neo0912_1078_fig007.jpg.txt,2,2,1,1,0,FASL,
PMC2136409__nihms34093f7.jpg.txt,0,0,0,0,0,,
PMC2137898__jem2040467f04.jpg.txt,0,0,0,0,0,,
PMC2147684__nihms-35362-f0004.jpg.txt,7,5,0,5,2,IGF-I|P38|L|AM|B,R|SAPK
PMC2151853__cc5704-10.jpg.txt,4,2,0,2,2,X|Y,E|J
PMC2151969__10616_2007_9092_Fig4_HTML.jpg.txt,5,4,1,3,1,RAD|ER|CAM,U
PMC2151969__10616_2007_9092_Fig5_HTML.jpg.txt,1,1,0,1,0,UP,
PMC2156132__JCB9812039.f6.jpg.txt,4,2,1,1,2,L,U|J
PMC2168910__zmb0200770550010.jpg.txt,2,1,1,0,1,,CELL
PMC2169177__zmb0230771550010.jpg.txt,13,7,1,6,6,TOR|ZAP70|ERK|SON|MEK|L,HAS|CAPRI|E|CA2|NAV|J
PMC2169297__nihms33167f1.jpg.txt,2,1,0,1,1,H,J
PMC2171390__200501111f7.jpg.txt,8,6,4,2,2,B|S,CA|E
PMC2172008__200403110f5.jpg.txt,1,1,0,1,0,B,
PMC2172300__200406151f1.jpg.txt,3,3,1,2,0,PI|FAK,
PMC2172302__200401034f6.jpg.txt,2,1,0,1,1,PKG,CELL
