file,"hgnc hits","on wp_all","on wp_hs","new wp_all","new wp_hs","new hits to wp_all","new hits only to wp_hs"
PMC1409799__1471-2105-7-55-4.txt,0,0,0,0,0,,
PMC1409881__15FF1.txt,4,3,1,1,2,ECM,S|MEK
PMC1413561__1471-2105-7-99-3.txt,0,0,0,0,0,,
PMC1413672__zpq0050610600006.txt,6,5,4,1,1,CELL,L
PMC1413813__zpq0060611520008.txt,3,2,2,1,0,RD,
PMC1415320__zmk0040676050006.txt,8,5,1,3,4,J|R|NS,ERK|AP-1|SNAIL|OF
PMC1415321__zmk0040675900012.txt,6,1,1,5,0,II|ECM|LTG|TTG|E,
PMC1420312__1471-2407-6-54-5.txt,0,0,0,0,0,,
PMC1431720__gb-2006-7-2-r11-7.txt,0,0,0,0,0,,
PMC1431720__gb-2006-7-2-r11-8.txt,0,0,0,0,0,,
PMC1435660__69f3c.txt,3,1,0,2,1,CELL|ECM,ALK1
PMC1435660__73f5c.txt,11,11,2,0,9,,IN|ALK1|DYS|REG|HHT1|HHT2|SE|HHT|Y
PMC1435660__75f8c.txt,6,5,1,1,4,TUBE,ALK-5|IN|OF|HHT
PMC1440308__1742-4682-3-13-4.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-5.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-6.txt,0,0,0,0,0,,
PMC1440308__1742-4682-3-13-7.txt,0,0,0,0,0,,
PMC1449610__8695f7.txt,8,6,0,2,6,ADA2|KCS1,P1|ADA3|SNF2|SW|ALT1|VPS24
PMC1449898__pgen.0020057.g005.txt,8,5,2,3,3,CA2|E|R,PKC|DAG|PA
PMC1451179__6772f6.txt,8,6,4,2,2,MA|IA,B|MAR
PMC1456092__GEN17141643f6.txt,6,5,1,1,4,PCP,ARM|B|ARMADILLO|ET
PMC1456095__GEN17141683f6.txt,2,2,1,0,1,,H
PMC1456930__7601062f5.txt,10,9,2,1,7,R,IGFI|ROS|MEK|P44|ERK|NSMASE|AP
PMC1461420__GEN1731177f4.txt,1,1,0,0,1,,L
PMC1462967__7601115f7.txt,8,6,2,2,4,DAMAGE|CELL,Y|RS|P53|OF
PMC1469776__JCI0624652.f1.txt,8,5,1,3,4,CELL|R|16,P|B|EI|CO
PMC1472009__zjv0090676890006.txt,5,4,2,1,2,R,TR|DD
PMC1479092__nihms-10426-0011.txt,8,5,1,3,4,HS|SAPK|JNK,TRX|TS|ROS|OF
PMC1479345__1476-511X-5-10-3.txt,6,5,3,1,2,MA,L|P38
PMC1479345__1476-511X-5-10-4.txt,12,10,6,2,4,TPSAB1|GNAT,CO|ELN|FU|FI
PMC1479345__1476-511X-5-10-5.txt,7,7,1,0,6,,FU|CO|TYRP|TUBA1|TUBB2|APS
PMC1479345__1476-511X-5-10-6.txt,11,9,7,2,2,FGFR3P|BARX1,FU|CO
PMC1479345__1476-511X-5-10-7.txt,10,8,3,2,5,BOP1|TCEA2,FU|CO|PCAF|TCF2|FI
PMC1481596__1748-7188-1-7-4.txt,0,0,0,0,0,,
PMC1482501__zpq0200621890001.txt,2,1,0,1,1,DAMAGE,RECA
PMC1482501__zpq0200621890004.txt,3,2,1,1,1,J,PA
PMC1482580__zpq0240625140004.txt,11,9,5,2,4,EDARADD|SOSTDC1,EDA-A1|L|P65|P50
PMC149052__00-0018f10.txt,1,0,0,1,0,ABI3,
PMC149053__00-0019f7.txt,3,2,0,1,2,CTRL,B|OF
PMC149075__00-0173f9.txt,3,0,0,3,0,HR|PR1|CELL,
PMC149122__00-0152f7.txt,9,5,0,4,5,LIGHT|FB1|PAL|AG,SA|ET|X|NPR|PCD
PMC14940__mk0801266010.txt,1,0,0,1,0,CELL,
PMC1501083__nihms10559f5.txt,6,4,1,2,3,J|U,L|CD|Z
PMC1502028__neo0710_0921_fig004.txt,0,0,0,0,0,,
PMC1502453__zpq0250625570005.txt,20,15,4,5,11,HMP|LA|GFR|PCP|SUN,YT|L4|L|Y|INT|SI|P6|S|P|DF|AN
PMC1502564__zpq0250625810003.txt,12,6,2,6,4,E47|HEB|E|SPL|LI|E2A,PN|PL|OT|H
PMC1503662__neo0406_0486_fig007.txt,10,9,3,1,6,JNK,MB|CD95|FLICE|MACH|CPP32|YAMA
PMC150771__003376f8.txt,3,3,1,0,2,,X|GA
PMC150971__JCI0215644.f1.txt,0,0,0,0,0,,
PMC151022__JCI0215970.f1.txt,2,1,1,1,0,II,
PMC151067__cdg131f6.txt,3,2,1,1,1,R,GST2
PMC151252__00-1768f3.txt,9,5,1,4,4,OR|R|NPA|EAF1,SA|LU|L|COI
PMC151254__00-0596f1.txt,23,14,3,9,11,J|NA|COP|PF|FINGER|GO|R|OR|CEN,Y|OF|GPCR|RLK|CO|P|ROS|IN|ON|AP2|S
PMC151254__00-0596f6.txt,11,7,4,4,3,II|CA|DAMAGE|PST1,HO|S1|S2
PMC151255__01-0455f5.txt,4,3,1,1,2,ABI3,ABI2|L
PMC151358__pq0438011005.txt,14,12,5,2,7,JNK|BIM,S|DLC1|B|L|BAK|SMAC|AIF
PMC151536__mb0230960007.txt,0,0,0,0,0,,
PMC151704__mb0531267009.txt,3,1,0,2,1,NTS|J,TOR
PMC151875__JCI0317745.f1.txt,3,2,1,1,1,DC,DAP12
PMC151924__JCI0316491.f7.txt,7,6,0,1,6,CA,OF|AC|SE|AN|CAR|OT
PMC1522081__1933fig7.txt,2,2,0,0,2,,B|X
PMC152615__jb0831245007.txt,2,2,1,0,1,,X
PMC1531665__neo0605_0603_fig004.txt,6,5,2,1,3,CELL,P38|L|EMT
PMC1531692__neo0403_0191_fig001.txt,0,0,0,0,0,,
PMC153558__pq0931010001.txt,3,2,2,1,0,R,
PMC153558__pq0931010003.txt,9,8,3,1,5,E,ALK3|BMPR-II|SMAD1|BMP2B|L
PMC153719__010413f9.txt,2,2,0,0,2,,TYPE|IN
PMC154144__bcr566-2.txt,4,2,0,2,2,HYPE|LAS,AS|ND
PMC155330__44493-2f7_L1TT.txt,18,12,6,6,6,MLK|LZK|TAK|TPL-2|JNK|CELL,MK|MEKK|ASK|HEP|MKK4|MKK7
PMC1553448__1471-2164-7-92-7.txt,2,2,1,0,1,,IN
PMC155783__ii0631887007.txt,10,7,2,3,5,FOR|OR|MLK,L|MEKK|MKK4|BCL-2|BCL-XL
PMC1567929__zpq0310630370007.txt,5,4,3,1,1,CA2,WAVE
PMC1570443__7601317f10.txt,5,2,1,3,1,VGLUT1|NG|R,TYPE
PMC1574111__140-0705522f3.txt,2,2,0,0,2,,IN|NOT
PMC1578677__2539fig7.txt,0,0,0,0,0,,
PMC1592599__MI2006-12682.001.txt,5,5,3,0,2,,L|RIP
PMC1592845__zmb0170661960008.txt,3,2,0,1,2,COP,ROS|B
PMC1592896__zmb0190662410007.txt,2,1,0,1,1,JNK,X
PMC1594900__zii0100661800003.txt,7,7,1,0,6,,DAG|PKC|MEK|ERK|AC|PI3K
PMC1599906__zpq0360634000003.txt,6,2,1,4,1,E3|II|J|E,TYPE
PMC1599931__zpq0340632620001.txt,9,8,4,1,4,R,L|P|Y|EIF4F
PMC1601945__neo0808_0689_fig001.txt,5,5,4,0,1,,OF
PMC1601946__neo0808_0677_fig001.txt,3,3,3,0,0,,
PMC1603434__zjh0070565490006.txt,4,4,3,0,1,,FRAT
PMC1603783__zjh0110566490005.txt,8,5,1,3,4,R|ERK1|TRAN,ALR|FAK|P|L
PMC1609106__1471-213X-6-45-8.txt,2,0,0,2,0,E|EL,
PMC1609183__1471-2407-6-236-7.txt,0,0,0,0,0,,
PMC1618798__nihms-12625-0002.txt,2,2,1,0,1,,B
PMC1618798__nihms-12625-0003.txt,7,4,3,3,1,DR4|MA|E,B
PMC1636849__zmb0200662740008.txt,2,1,0,1,1,FATE,L
PMC1636853__zmb0200662920010.txt,3,3,1,0,2,,SI|P
PMC16561__pq1201750006.txt,9,7,3,2,4,U|JNK,L|P|Y|EA2
PMC166246__pq1332636005.txt,3,2,0,1,2,NG,LU|CI
PMC167103__pp0737980004.txt,2,2,0,0,2,,B|VPF
PMC1679705__JCI0627702.f9.txt,2,1,1,1,0,TRPC,
PMC1681468__msb4100014-f2.txt,2,1,1,1,0,J,
PMC1681468__msb4100014-f5.txt,0,0,0,0,0,,
PMC1682017__msb4100094-f4.txt,0,0,0,0,0,,
PMC1682017__msb4100094-f5.txt,0,0,0,0,0,,
PMC1693893__gkl834f7.txt,8,6,1,2,5,J|CELL,COB|P21|B|RAR|S
PMC1693942__tpc1803047f05.txt,0,0,0,0,0,,
PMC1698511__zmr0040621400003.txt,9,6,1,3,5,NA|R|FRA,LPS|L|PKR|TRAF6|B
PMC1705971__nihms-14550-0007.txt,3,2,0,1,2,II,B|TOR
PMC171388__JCI0317788.f7.txt,5,3,0,2,3,ACTIVIN|CRIPTO,OF|ACT|B
PMC1728094__00840.f1.txt,5,2,1,3,1,CELL|GP|IL-6,L
PMC1764827__neo0811_0964_fig010.txt,0,0,0,0,0,,
PMC1766317__zpq0440639740005.txt,0,0,0,0,0,,
PMC1766433__zpq0510645340008.txt,0,0,0,0,0,,
PMC1769435__pbio.0050010.g001.txt,4,3,0,1,3,DAMAGE,L|PH|BCL-XL
PMC1775040__1471-2202-7-S1-S10-2.txt,7,5,0,2,5,TP|E,Y|L|S|AC|ON
PMC1779520__gb-2006-7-5-r42-3.txt,0,0,0,0,0,,
PMC1781473__ppat.0030003.g003.txt,4,1,1,3,0,E|KCS|JNK,
PMC1783401__zpq0510645370006.txt,7,6,4,1,2,PRH,L|SMAD1
PMC178345__ek0430035005.txt,3,2,1,1,1,J,P
PMC1783462__7601504f8.txt,4,4,2,0,2,,CD95|FLASH
PMC1783693__RevDiabeticStud-01-165-003.txt,6,3,2,3,1,JNK|E|U,L
PMC1803010__ppat.0030021.g003.txt,2,2,1,0,1,,MID2
PMC1804097__nihms14446f7.txt,3,2,1,1,1,CELL,L
PMC1815248__zpq0070752640005.txt,4,2,2,2,0,JNK|RECK,
PMC1821078__nihms16116f6.txt,6,6,3,0,3,,IN|APE|L
PMC1828067__1476-4598-6-18-7.txt,4,3,2,1,1,R,L
PMC1828071__nihms16392f12.txt,6,4,0,2,4,J|CELL,C-RAF|MEK1|ERK|IN
PMC1828071__nihms16392f1a.txt,24,21,5,3,16,J|R|FOR,C-RAF|L|MEK1|TR|LKB1|ON|AMPK|B|ERK|HNF1|Y|FKHRL1|FKHR|BP1|TRA|ND
PMC1828071__nihms16392f2.txt,14,11,4,3,7,R|J|FOR,L|PI|AMPK|FKHRL1|FKHR|BP1|S
PMC1829256__zpq0100756500001.txt,0,0,0,0,0,,
PMC1838573__nihms-12454-0001.txt,10,7,2,3,5,J|IL-2|16,ER|FASL|PUMA|NOXA|CD95
PMC1838942__JCI0730453.f1.txt,18,13,5,5,8,J|TRAN|LEUS|IL-6|U,RB|PI3K|AK|L|NU|B|P|OF
PMC1838971__zmk0040780130010.txt,0,0,0,0,0,,
PMC1839891__1752-0509-1-13-1.txt,11,8,2,3,6,LOR|CF|GO,TR|L|HGL|PFM|S|Y
PMC1839894__1752-0509-1-4-4.txt,0,0,0,0,0,,
PMC1839983__nihms16683f4.txt,0,0,0,0,0,,
PMC1847322__nihms17490f5.txt,0,0,0,0,0,,
PMC1847715__984fig8.txt,1,1,0,0,1,,IN
PMC1850774__jh1123398005.txt,24,21,11,3,10,ECM|R|JNK,FY|PKC|L|PKB|FAK|Y|MEK|IKK|FKHR|ERK
PMC1851054__zpq0090755020006.txt,2,0,0,2,0,E|J,
PMC1851854__zjh0020771290007.txt,3,2,0,1,2,J,L|LPS
PMC1851929__nihms18962f8.txt,4,3,1,1,2,J,L|Y
PMC185249__1465-9921-4-5-3.txt,0,0,0,0,0,,
PMC1853162__biophysj00090084F02_RGB.txt,8,5,0,3,5,IA|GIL|MT,X|B|RN|S|Y
PMC1853162__biophysj00090084F03_RGB.txt,11,7,1,4,6,R|SR|YO|U,X|Y|B|S|L|FY
PMC1853162__biophysj00090084F04_RGB.txt,1,0,0,1,0,II,
PMC1855985__pone.0000426.g001.txt,24,17,6,7,11,R|REA|NG|DOM|U|B2|MA,ND|L|IN|S|HER2|P|CRN|RP|MAI|P38|MAPK15
PMC1857715__ppat.0030060.g008.txt,6,2,1,4,1,E|OP|ACF|CAL,LPS
PMC1862519__nihms18021f1.txt,0,0,0,0,0,,
PMC186276__46891-2f3_L1TT.txt,10,8,3,2,5,CELL|FATE,ON|P4|P|P6|OT
PMC1862818__nihms20335f2.txt,3,1,0,2,1,JNK3|CELL,P
PMC186427__51627-13f7_C4TT.txt,3,3,1,0,2,,CBP|P300
PMC1867372__tpc1900805f07.txt,6,4,1,2,3,TFF|E,ACS2|ET|RF1
PMC1868540__nihms20764f1.txt,2,1,1,1,0,S9,
PMC187495__55671-10f4_L1TT.txt,2,1,0,1,1,NE,DAF
PMC1876485__pcbi.0030092.g003.txt,5,4,1,1,3,HYP,SI|L|MI
PMC1876599__nrs05004.f3.txt,7,6,2,1,4,P11,ER|GR|PR|AC
PMC1877048__22FF1.txt,4,4,2,0,2,,LPS|MD-2
PMC1877091__zmk0060780720015.txt,8,3,2,5,1,CCM2|CCM3|CELL|GEN|OR,P38
PMC18851__pq2204103006.txt,3,2,1,1,1,NS,P35
PMC1885811__1471-2105-8-168-4.txt,0,0,0,0,0,,
PMC1892100__1471-2105-8-S3-S3-1.txt,0,0,0,0,0,,
PMC1895829__zh80130697530005.txt,4,3,2,1,1,INE,GPCR
PMC1896004__gb-2007-8-4-r59-4.txt,0,0,0,0,0,,
PMC1913781__pp1440324f07.txt,6,2,1,4,1,NSP2|DM|NSP1|HCL,L
PMC1914214__nihms22441f7.txt,4,3,1,1,2,V2,SMN|B
PMC1924805__zmk0070781270008.txt,3,3,1,0,2,,X|ROS
PMC1934587__JCI0731807.f11.txt,3,2,0,1,2,R,EPOR|ROS
PMC1939900__zh80140704970006.txt,0,0,0,0,0,,
PMC1949361__zmk0080781650007.txt,2,2,1,0,1,,LFA-1
PMC1950120__nihms26639f7.txt,2,2,1,0,1,,IN
PMC1951132__zek0080729420001.txt,14,6,2,8,4,TEM|CTU|AII|MT|R|E|ATL|ANT,P|AO|AN|AF
PMC1951760__zmk0090781940008.txt,0,0,0,0,0,,
PMC195990__59046-10f5_C4TT.txt,2,2,1,0,1,,HIP
PMC196055__64236-02f7_L1OT.txt,11,7,1,4,6,GEF|J|PINS|GPR,OF|GPCR|GAP|Y|GA|L
PMC196255__67858-09f7a_L1TT.txt,2,1,1,1,0,CELL,
PMC1964795__nihms26012f5.txt,25,19,8,6,11,R|MLK3|JNK|YAP|E|J,ASK1|P53|P73|B|L|BCL-2|X|H|MR|4E-BP1|CASPR
PMC197303__015529f1.txt,8,7,1,1,6,CELL,S|SSI2|NPR1|PR|PSM|B
PMC1978528__pone.0000936.g001.txt,4,3,2,1,1,R,L
PMC198534__JCI0319974.f1.txt,2,2,2,0,0,,
PMC1986755__nihms25854f7.txt,2,2,0,0,2,,L|ZIP
PMC1986796__nihms27267f8.txt,4,3,0,1,3,SHD,PKG|ERK|OF
PMC199181__JCI0111918.f3.txt,0,0,0,0,0,,
PMC1994700__pgen.0030154.g003.txt,7,5,1,2,4,II|E,A4|H|L|IN
PMC1995089__nihms-28375-f0008.txt,1,1,1,0,0,,
PMC1995599__nihms25729f2.txt,5,5,4,0,1,,L
PMC1998874__335_2007_9040_Fig4_HTML.txt,1,1,0,0,1,,B
PMC1998879__335_2007_9034_Fig2_HTML.txt,0,0,0,0,0,,
PMC2000831__nihms28507f3.txt,4,4,2,0,2,,B|CO
PMC2002608__tpc1902484f12.txt,2,2,2,0,0,,
PMC2002614__tpc1902454f09.txt,8,3,1,5,2,NAE|ABI3|R|E|CRA,FAAH|ABI2
PMC20092__pq0673858005.txt,1,1,0,0,1,,C3G
PMC201163__ac1030622001.txt,8,6,3,2,3,PROT|CELL,L|PL|ON
PMC2040891__zpq0270768390005.txt,8,7,2,1,5,OR,BAK|PUMA|P21|RB|X
PMC2042176__zpq0410779130004.txt,2,1,1,1,0,E,
PMC2043018__pbio.0050248.g004.txt,27,22,9,5,13,BCR|LI|NCR|CA|R,B|PDCR|P4|REC|L|ZAP70|X|BCAP|SLP76|PI3K|PKC|P|CARMA
PMC2043540__zmk0110782710007.txt,0,0,0,0,0,,
PMC2043575__zmk0110782920008.txt,2,1,0,1,1,E,S
PMC20445__pq0980676006.txt,0,0,0,0,0,,
PMC2045624__JCI0733976.f1.txt,5,3,2,2,1,II|OX40,L
PMC2048693__tpc1902940f08.txt,5,4,1,1,3,R,B|IF|P
PMC2048736__pp1450450f09.txt,7,6,0,1,6,J,P|LD|OF|S|B|SA
PMC2063843__jcb1730431f08.txt,2,2,1,0,1,,P120
PMC2064281__jcb1770809f06.txt,11,7,1,4,6,PLA2|CA2|R|U,L|CAR1|CO2|PI3K|OCT|SI
PMC2064427__jcb1780107f10.txt,5,2,1,3,1,CRB|E|CA,MPRI
PMC2064840__jcb1780437f09.txt,5,4,4,1,0,RC,
PMC2072925__11302_2007_9074_Fig1_HTML.txt,9,5,0,4,5,J|E|ADP|TC,P2Y|P|P1|L|ON
PMC2075101__nihms-30394-f0001.txt,6,5,0,1,5,LRP3,5-HT2A|L|IP|CI|P2
PMC207628__mb2130730009.txt,9,5,0,4,5,E|J|R|SHP2,Y|P|L|RN|PTP
PMC2077852__nihms32806f3.txt,5,3,1,2,2,OR|DAMAGE,ERK|C-JUN
PMC2080907__jcb1790717f08.txt,23,15,7,8,8,VPREB|OR|BCR|II|R|LI|CA|E,B|MEK|ERK|NFAT|API|PMCA4|P|L
PMC209287__JCI0112853.f1.txt,6,4,1,2,3,J|CELL,TWIST|TYPE|P
PMC2093951__nihms31050f9.txt,1,1,1,0,0,,
PMC2096423__JCI0732301.f10.txt,6,4,1,2,3,OUT|BLAST,OF|L|Y
PMC2096568__11302_2004_Article_4748_Fig4.txt,7,4,1,3,3,ADP|P2Y12|GEF,P2Y1|GAP|Y
PMC2097959__nihms33845f2.txt,17,15,7,2,8,CELL|GFR,DAG|PKC|PI3K|MEK|ERK|COX2|INOS|P
PMC2099483__1471-2105-8-S7-S15-1.txt,10,7,4,3,3,CELL|SHP2|U,CPT1|P|PGC1
PMC2099484__1471-2105-8-S7-S16-11.txt,3,3,1,0,2,,B|L
PMC2099484__1471-2105-8-S7-S16-9.txt,1,0,0,1,0,R,
PMC2100073__1471-2105-8-335-4.txt,0,0,0,0,0,,
PMC2100073__1471-2105-8-335-5.txt,5,3,1,2,2,E|U,H|MI
PMC2100073__1471-2105-8-335-6.txt,1,1,1,0,0,,
PMC2118122__jem2032409f01.txt,5,4,1,1,3,CELL,VEGF|B|CO
PMC2118421__jem2040093f07.txt,0,0,0,0,0,,
PMC2128780__nihms33729f9.txt,2,1,1,1,0,FATE,
PMC2133067__JCB9807101.f8.txt,7,5,1,2,4,SHE|CELL,FAK|MEK1|MEK|ERK
PMC2133182__JCB9811074.f10.txt,5,4,1,1,3,OR,MEK1|MKK6|OF
PMC2134904__neo0912_1078_fig007.txt,1,1,0,0,1,,FU
PMC2136409__nihms34093f7.txt,5,4,3,1,1,E,PL
PMC2137898__jem2040467f04.txt,0,0,0,0,0,,
PMC2147684__nihms-35362-f0004.txt,5,3,1,2,2,J|II,ON|L
PMC2151853__cc5704-10.txt,2,1,0,1,1,JNK,ERT
PMC2151969__10616_2007_9092_Fig4_HTML.txt,5,1,0,4,1,UI|U|E|RED,L
PMC2151969__10616_2007_9092_Fig5_HTML.txt,16,10,1,6,9,U|J|E|II|RED|R,EI|TOR|P|S|CI|HL|L|Z|UP
PMC2156132__JCB9812039.f6.txt,4,4,2,0,2,,FR|IGF-II
PMC2168910__zmb0200770550010.txt,6,3,1,3,2,HE|RP2|CELL,B|L
PMC2169177__zmb0230771550010.txt,12,10,6,2,4,CA2|II,MEK|ZAP70|ERK|PKC
PMC2169297__nihms33167f1.txt,3,3,1,0,2,,L|ERK
PMC2171390__200501111f7.txt,6,5,5,1,0,CA,
PMC2172008__200403110f5.txt,5,3,1,2,2,RH|PCP,X|Y
PMC2172300__200406151f1.txt,4,4,1,0,3,,B|P|X
PMC2172302__200401034f6.txt,9,6,2,3,4,E|CA2|CELL,ACH|GPCR|PKG|AA
PMC2172815__200304105f7.txt,14,10,2,4,8,R|OR|CELL|E,IN|VEGF|REC|RTS|ER|OF|MEK|ON
PMC2172896__200210149f10.txt,3,1,1,2,0,SDF-1A|P160,
PMC2173691__200308162f7.txt,5,3,1,2,2,J|EL,L|SLUG
PMC2174018__200204089f1.txt,7,6,1,1,5,CDC42P,P|PI|P2|ARP2|OF
PMC2174628__msb4100195-f3.txt,0,0,0,0,0,,
PMC2174844__JCB9910150.f8.txt,0,0,0,0,0,,
PMC2176131__AJRCMB38195f7.txt,1,1,1,0,0,,
PMC2192628__nihms35772f3.txt,0,0,0,0,0,,
PMC2195651__JEM991494.f2.txt,6,4,1,2,3,CTL|CELL,FASL|L|B
PMC2195865__JEM001425.f2.txt,4,2,0,2,2,CELL|II,TYPE|CD95
PMC2213034__20042085f8.txt,4,1,0,3,1,ECM|CD63|J,L
PMC2213494__JEM001349.f8.txt,8,6,0,2,6,CELL|GNA,HSC|KITL|C-KIT|S|BCL-2|FI
